experiment_accession	reference_genome_accession	gtdb_species
ERX4307280	GCF_010509575.1	s__Faecalibacterium prausnitzii_C
SRX10245671	GCF_010509575.1	s__Faecalibacterium prausnitzii_C
SRX3847835	GCF_010509575.1	s__Faecalibacterium prausnitzii_C
